"","lrscale","trstep","trstun","stfdem","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","atcherp","rlgdgr","ipeqopt","ipudrst","ipstrgv","impenv","imptrad","gndr","prtclcgb","agea"
"241",4,1,3,3,5,2,2,5,4,1,2,2,2,2,2,3,1,3,2,2,1,2,2,1,1,73
"242",NA,3,3,3,4,1,1,5,3,NA,3,3,3,3,3,3,3,3,2,1,1,2,2,2,7,46
"243",3,3,2,3,3,2,2,4,3,3,2,2,3,4,3,4,3,3,1,1,2,2,1,2,NA,56
"244",3,3,4,3,3,1,1,5,2,3,2,2,2,4,4,4,4,3,1,1,1,1,3,2,1,63
"245",2,4,3,3,4,2,1,5,1,4,1,1,1,4,4,4,4,1,1,1,2,1,3,2,2,28
"246",4,1,3,3,4,2,3,3,4,1,2,2,3,3,3,3,4,4,2,1,1,1,2,1,1,73
"247",3,2,2,4,4,1,1,5,5,3,3,3,3,3,3,3,2,1,2,2,2,1,1,2,6,28
"248",3,1,3,1,2,3,1,5,2,1,4,4,4,1,1,1,1,3,1,1,1,1,2,1,NA,54
"249",3,1,2,3,4,3,1,4,3,2,1,2,2,3,4,3,2,3,1,1,1,1,1,1,NA,66
"250",3,1,2,2,3,1,4,5,5,3,2,2,2,4,4,5,5,5,1,1,1,1,1,2,2,61
"251",4,1,1,2,3,1,2,4,4,1,3,3,3,2,1,1,5,1,2,2,2,2,3,1,NA,44
"252",3,2,4,4,3,3,2,4,2,3,2,2,3,3,3,3,1,1,1,1,1,1,1,1,3,57
"253",3,4,4,5,5,2,1,5,1,3,1,1,1,4,3,3,4,1,1,1,1,2,3,2,NA,15
"254",2,3,3,4,4,2,1,5,1,5,2,2,2,5,5,5,5,2,1,1,3,1,2,2,2,34
"255",3,1,NA,3,3,3,3,3,3,3,3,3,3,1,2,2,3,3,2,2,2,2,2,2,2,51
"256",3,5,5,2,5,4,1,5,1,4,1,2,2,5,5,5,5,4,1,1,1,1,1,1,1,34
"257",NA,3,3,3,4,2,1,5,1,3,1,1,1,5,3,5,3,5,2,1,1,1,1,2,3,30
"258",3,3,3,3,3,2,2,5,2,3,2,3,3,3,3,NA,3,2,1,1,1,2,2,2,2,49
"259",2,4,5,4,5,1,1,5,1,4,2,2,1,4,5,5,5,3,1,1,2,2,3,1,3,47
"260",4,1,3,2,4,3,1,5,3,2,1,1,2,4,4,4,2,2,1,1,1,2,3,1,1,48
"261",3,3,4,4,3,2,1,5,1,3,2,2,3,3,3,3,3,3,2,1,1,1,2,2,2,40
"262",3,3,3,3,3,2,1,5,1,3,1,1,2,4,4,4,3,3,2,2,2,1,1,2,NA,31
"263",3,2,3,2,3,2,1,5,1,2,3,3,4,2,3,2,1,2,3,2,1,1,2,2,NA,27
"264",3,3,3,3,2,2,2,4,2,2,3,3,3,3,3,2,2,3,1,1,1,1,1,1,NA,57
"265",3,3,5,1,4,3,1,5,1,5,2,2,2,3,2,3,5,1,1,1,1,1,2,2,NA,31
"266",4,3,3,4,4,2,3,3,5,2,2,2,2,4,3,4,NA,3,1,1,1,1,1,1,NA,61
"267",2,4,4,3,4,2,1,5,1,3,1,1,1,4,4,5,3,1,1,1,1,1,1,2,NA,18
"268",NA,2,2,3,3,3,2,4,2,NA,3,3,3,3,3,3,2,1,2,2,2,2,2,1,NA,29
"269",2,4,4,3,3,1,1,5,1,3,1,1,1,5,5,5,5,1,1,1,2,1,3,2,2,33
"270",3,3,4,3,4,3,2,4,2,3,2,2,2,3,4,3,3,3,2,2,1,1,1,2,1,35
"271",3,3,3,3,3,2,2,3,2,3,2,2,2,4,4,4,4,3,NA,NA,NA,NA,NA,1,2,23
"272",4,3,5,4,4,1,1,5,1,3,2,2,2,3,4,4,3,5,1,2,1,1,1,2,NA,58
"273",3,2,4,3,3,5,1,5,1,3,2,2,2,5,5,5,4,3,2,1,1,1,2,2,NA,39
"274",4,2,5,5,4,1,1,5,3,1,2,2,2,4,5,4,4,3,1,1,1,1,1,1,1,88
"275",2,2,3,1,4,3,1,4,1,2,3,2,2,4,4,4,3,3,1,1,1,1,1,1,1,48
"276",4,3,4,4,5,4,1,5,3,NA,2,2,2,NA,3,3,3,NA,2,1,1,1,1,2,NA,87
"277",3,3,3,4,4,3,2,4,4,4,1,1,1,5,4,4,4,3,2,1,2,1,1,1,1,83
"278",3,2,2,3,3,2,1,5,1,NA,2,2,2,3,3,4,4,2,1,1,1,1,2,2,NA,43
"279",2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,3,2,2,2,2,2,1,2,85
"280",5,1,4,4,5,2,1,5,1,1,2,2,2,5,5,4,1,3,1,1,1,1,1,1,1,70
"281",3,3,4,3,2,3,2,4,2,3,2,2,1,3,3,3,3,1,2,2,1,2,1,2,NA,56
"282",3,3,3,2,3,2,2,5,1,3,1,1,1,5,4,4,4,3,1,1,1,1,2,1,3,56
"283",4,4,4,4,4,2,2,4,2,4,2,2,2,4,3,4,3,4,1,1,1,1,1,1,NA,63
"284",NA,3,3,NA,3,3,1,5,1,NA,1,2,2,4,4,4,3,4,2,2,2,3,2,2,NA,36
"285",4,NA,NA,NA,4,NA,4,5,5,1,NA,NA,2,3,NA,3,1,3,1,2,2,1,1,2,NA,88
"286",2,3,2,3,3,3,1,5,2,3,2,2,2,4,5,4,2,2,1,1,3,1,3,1,2,26
"287",4,3,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,1,1,2,2,NA,68
"288",2,2,3,2,2,1,2,4,4,1,3,2,2,4,4,4,1,2,1,1,1,1,1,2,2,57
"289",3,1,3,3,1,1,1,5,1,4,2,2,2,4,2,5,1,1,1,1,1,1,2,2,2,64
"290",4,3,3,3,4,3,2,4,3,3,2,2,2,4,4,3,3,4,1,1,1,1,2,2,1,58
"291",3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,5,2,2,2,2,2,1,NA,66
"292",3,1,1,2,4,2,1,5,1,1,4,4,4,1,1,2,1,4,1,1,1,2,1,2,NA,25
"293",2,1,NA,3,2,2,2,4,2,1,4,4,3,1,2,2,1,3,1,1,1,2,1,2,2,68
"294",3,4,4,4,3,2,1,5,1,3,2,2,2,4,4,4,4,2,1,1,1,1,3,2,NA,30
"295",4,3,4,4,3,2,2,5,1,4,2,2,2,4,4,4,4,1,2,2,2,1,3,2,1,60
"296",4,2,4,4,4,2,1,5,4,1,2,2,2,4,3,3,3,1,1,1,1,1,1,1,1,70
"297",3,3,4,3,3,2,2,5,2,3,1,1,1,4,4,4,4,2,2,1,1,1,3,1,NA,67
"298",3,3,3,3,5,3,2,4,2,1,3,3,3,4,4,4,3,2,2,1,1,2,2,1,2,80
"299",3,3,4,2,3,1,2,5,2,3,1,1,2,5,5,5,4,2,2,2,2,1,2,1,NA,61
"300",4,1,4,3,3,1,1,4,2,1,2,2,3,3,3,1,1,4,1,2,3,3,1,2,1,31
"301",3,NA,NA,1,2,1,2,5,3,3,1,1,1,3,4,3,NA,5,2,1,NA,1,2,2,6,49
"302",3,3,2,3,3,2,2,4,3,3,2,2,2,3,3,3,3,1,1,2,1,1,1,1,1,68
"303",3,3,3,4,4,4,1,5,2,3,2,2,2,3,4,3,3,1,2,2,1,2,3,1,NA,32
"304",4,3,5,4,5,3,NA,NA,NA,3,2,2,4,4,4,4,3,4,3,1,1,1,2,1,1,90
"305",4,3,4,3,3,4,3,4,2,4,2,2,2,4,4,4,2,3,1,1,1,1,1,1,2,32
"306",4,1,4,5,4,4,2,4,5,1,3,3,4,3,2,1,1,3,1,2,1,1,1,1,1,56
"307",3,1,3,1,3,5,2,4,3,1,2,2,2,4,4,4,3,5,1,1,1,1,1,2,1,87
"308",3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2,1,1,2,1,NA,29
"309",NA,1,NA,1,4,1,2,5,3,NA,3,3,3,3,NA,2,2,1,1,1,2,1,2,2,2,57
"310",3,3,3,5,5,4,2,4,4,2,2,2,2,4,3,3,3,4,2,1,3,2,3,1,1,43
"311",3,2,4,4,3,3,1,5,1,1,2,2,2,4,4,4,2,2,1,1,2,1,2,2,2,37
"312",2,1,1,1,2,2,1,5,3,2,4,4,4,2,2,2,2,3,1,1,1,1,1,2,NA,72
"313",NA,4,NA,3,3,3,1,5,1,4,2,3,3,2,4,3,3,2,2,3,1,3,3,2,NA,15
"314",3,3,4,4,3,2,1,5,2,3,1,1,1,4,4,3,2,5,1,2,2,2,1,2,4,58
"315",3,2,4,4,4,2,2,4,2,2,2,2,2,3,3,4,4,2,1,1,1,3,2,1,NA,64
"316",3,1,1,1,3,2,5,2,5,3,3,3,3,1,3,1,1,4,1,1,1,1,1,2,NA,74
"317",3,1,5,3,3,4,1,5,1,2,2,2,2,4,5,4,4,3,1,1,1,1,1,2,NA,61
"318",3,1,3,4,4,1,1,5,2,2,2,2,2,4,4,4,3,2,1,1,1,1,3,1,NA,65
"319",3,1,NA,3,1,1,1,5,2,2,2,2,2,3,2,3,3,2,1,1,1,1,1,2,1,59
"320",2,3,4,3,4,1,1,5,1,4,2,2,2,4,4,4,4,2,1,1,2,1,2,1,3,47
"321",2,1,1,3,1,1,3,5,2,NA,2,2,3,1,1,1,3,2,1,1,1,1,1,2,2,60
"322",NA,1,1,1,1,2,2,3,5,1,2,2,2,3,3,3,1,3,2,3,2,1,1,2,4,58
"323",2,3,4,2,3,2,1,5,1,3,2,2,2,4,4,4,4,3,1,1,2,1,2,2,4,45
"324",3,3,3,2,3,2,1,5,1,3,2,2,3,2,2,1,2,1,2,1,1,1,1,2,NA,24
"325",2,3,4,4,2,3,1,5,1,3,1,1,1,5,5,5,4,1,1,1,2,1,2,2,NA,32
"326",3,2,2,1,3,1,1,5,1,2,1,1,1,4,4,4,4,4,1,1,2,1,3,2,6,59
"327",2,4,3,4,4,2,2,5,2,4,2,1,1,5,5,5,3,1,1,2,1,1,2,1,NA,41
"328",NA,2,2,4,3,3,1,5,1,3,1,1,1,5,2,4,3,3,1,1,1,1,1,2,1,52
"329",3,4,4,2,2,1,1,5,1,5,2,2,3,3,4,4,3,1,2,1,3,3,2,2,NA,25
"330",3,2,3,3,2,4,2,5,2,1,2,2,2,4,3,4,4,4,1,2,1,1,1,2,1,65
"331",3,3,3,4,5,1,1,5,1,3,1,1,2,5,5,5,4,1,1,1,3,1,3,1,2,42
"332",3,3,3,3,2,2,2,5,2,3,3,3,4,2,2,2,3,3,2,2,2,2,3,2,NA,59
"333",3,1,1,1,5,2,2,4,3,1,4,4,4,1,1,1,1,4,1,1,1,1,1,2,2,83
"334",3,4,4,4,5,3,2,4,3,4,2,2,3,4,4,4,5,5,2,1,2,2,1,2,NA,80
"335",3,1,3,2,3,2,3,4,2,4,2,2,3,3,2,2,2,3,1,2,1,2,2,1,NA,67
"336",5,1,1,1,1,1,2,4,5,1,4,3,4,2,1,1,1,1,2,2,1,1,1,2,7,73
"337",3,2,3,4,4,2,2,4,3,2,2,2,2,4,4,3,3,5,2,1,1,2,1,2,1,84
"338",3,2,2,3,3,1,1,5,4,2,2,3,3,2,2,2,1,2,1,1,1,1,1,1,1,32
"339",3,1,1,1,4,1,1,5,2,1,2,3,4,2,1,1,2,1,1,2,3,3,2,1,7,63
"340",1,1,1,1,3,1,1,5,3,1,2,2,2,3,3,3,1,5,1,1,3,1,1,1,NA,67
"341",2,3,3,2,2,1,1,5,1,4,2,2,2,4,4,4,4,1,1,1,2,1,3,1,2,69
"342",1,3,3,2,2,1,1,4,3,3,3,3,4,2,2,1,1,3,1,1,1,1,3,2,1,38
"343",3,1,1,4,4,2,1,5,2,3,2,2,2,5,4,4,3,1,2,2,3,2,3,1,3,38
"344",NA,1,NA,NA,1,1,1,5,2,NA,2,2,2,1,1,1,3,3,1,1,2,2,2,2,NA,30
"345",2,3,5,4,4,3,2,4,2,4,1,1,1,4,5,5,4,2,2,1,1,1,2,1,2,49
"346",3,2,3,2,3,2,2,5,3,3,2,3,3,3,3,3,3,3,1,1,1,1,1,2,2,44
"347",NA,1,NA,3,2,2,2,4,2,3,3,3,3,3,2,2,2,1,1,1,1,1,2,2,NA,46
"348",3,2,2,2,3,2,1,5,2,4,1,1,1,4,4,4,5,4,1,1,1,1,1,2,NA,23
"349",2,2,3,4,3,2,1,5,1,5,1,1,1,4,4,5,4,1,1,1,1,1,3,1,2,47
"350",3,4,4,3,3,2,1,5,1,3,1,2,2,3,3,2,3,3,1,1,1,1,2,2,NA,17
"351",3,1,2,2,3,2,1,5,1,1,2,2,2,3,3,3,3,1,1,1,1,2,2,2,NA,26
"352",3,2,2,3,3,4,1,5,2,1,2,2,2,5,5,4,3,3,1,1,1,2,1,1,1,63
"353",3,1,3,4,3,2,1,4,2,NA,1,1,1,3,3,3,4,1,1,1,1,1,2,2,NA,56
"354",3,1,1,1,1,1,1,5,1,3,1,2,2,3,1,1,3,4,1,1,1,1,1,2,NA,49
"355",5,3,3,3,4,2,3,2,4,3,2,2,2,3,3,3,3,3,1,1,1,1,1,1,NA,71
"356",2,NA,NA,1,3,2,1,5,1,NA,1,1,1,5,5,5,1,1,1,1,1,1,3,2,NA,73
"357",3,3,3,1,3,2,2,4,4,1,2,4,2,3,2,2,1,1,1,2,3,1,1,2,NA,51
"358",3,1,1,3,3,3,1,5,1,3,2,2,2,2,3,3,3,1,2,2,1,2,2,2,NA,34
"359",2,3,3,3,4,2,2,5,4,2,4,4,4,2,2,2,2,3,2,2,2,1,1,2,NA,64
"360",3,1,2,1,2,3,2,5,4,2,3,3,3,3,1,1,1,3,1,1,1,1,1,2,NA,54
"361",2,3,4,3,2,2,2,4,2,3,2,2,2,4,4,4,3,4,1,2,2,1,2,2,2,36
"362",4,2,3,3,3,2,3,4,4,4,3,3,3,3,2,3,3,2,1,1,1,1,2,1,1,69
"363",3,3,3,3,3,1,2,5,1,5,2,2,3,2,2,2,4,3,1,1,1,1,1,2,NA,70
"364",4,3,4,5,4,2,1,5,1,3,2,2,2,4,5,5,4,3,2,1,1,1,1,2,1,42
"365",4,4,NA,5,5,4,5,5,5,NA,2,2,2,5,NA,3,5,4,1,1,1,1,1,1,NA,27
"366",4,3,3,4,4,5,1,5,3,2,2,2,3,3,2,3,4,2,2,1,1,1,1,1,1,34
"367",3,1,2,4,3,3,1,5,1,1,4,4,4,1,1,1,1,3,1,1,1,1,1,2,NA,54
"368",3,3,3,3,3,2,2,3,3,1,3,2,2,3,3,3,3,4,1,1,2,1,1,2,NA,48
"369",3,3,3,NA,5,2,2,4,2,NA,2,2,2,3,4,4,3,5,1,1,1,1,1,2,NA,NA
"370",4,2,3,2,3,2,2,2,2,2,2,2,2,4,4,4,3,3,1,1,1,1,1,1,1,77
"371",NA,1,1,1,3,4,3,NA,5,1,2,2,4,2,1,1,1,4,3,2,1,1,1,1,NA,78
"372",2,3,NA,3,4,2,3,3,3,4,2,2,3,3,3,3,3,1,2,1,2,1,2,1,2,50
"373",3,3,3,3,3,2,3,4,2,3,1,2,1,3,4,5,5,1,1,1,1,1,1,2,NA,20
"374",3,3,3,2,2,5,4,5,4,3,1,1,2,3,1,3,1,2,1,2,2,1,2,1,NA,24
"375",3,1,1,1,5,1,1,5,1,3,2,2,2,5,4,4,1,3,1,1,3,1,3,2,4,49
"376",4,3,3,4,5,2,1,5,2,3,2,2,2,4,4,4,2,1,2,1,2,1,3,1,3,57
"377",2,4,5,3,2,2,1,5,1,3,1,1,1,3,5,5,4,1,1,1,1,1,3,1,6,32
"378",2,2,3,3,4,3,1,5,1,3,1,1,1,5,4,4,3,1,1,1,2,1,3,1,1,32
"379",1,2,3,2,4,3,1,5,1,3,3,3,3,1,1,1,3,1,1,1,1,2,1,2,7,36
"380",NA,3,3,3,3,4,1,5,1,3,2,2,2,4,4,4,3,3,1,2,2,1,2,2,NA,41
"381",4,3,4,4,5,2,1,5,2,3,2,2,3,3,4,4,2,1,1,1,2,2,1,1,NA,36
"382",NA,2,2,NA,5,3,3,3,3,NA,4,4,3,1,1,1,1,1,1,2,2,2,2,1,NA,58
"383",3,3,4,3,4,3,2,5,2,1,2,2,3,3,3,3,3,3,1,1,2,1,2,2,NA,57
"384",4,1,2,2,3,2,2,4,4,1,3,3,3,3,3,2,3,1,1,1,2,1,3,2,1,60
"385",4,2,3,3,3,4,1,5,2,2,3,3,3,3,2,2,3,2,1,1,1,2,3,1,1,42
"386",NA,NA,4,3,5,2,5,1,5,5,3,1,1,5,5,5,5,5,1,1,1,1,1,2,NA,80
"387",5,2,2,2,3,2,2,4,2,2,3,3,4,2,2,2,1,1,2,2,1,1,1,1,1,45
"388",NA,3,4,4,4,2,2,4,2,3,4,4,4,1,1,1,3,2,1,1,1,1,2,2,NA,58
"389",3,1,NA,2,4,3,2,4,4,2,2,2,2,4,4,3,3,1,1,1,1,1,1,1,1,62
"390",3,2,2,1,2,3,3,3,3,2,1,1,1,4,4,4,2,1,2,2,2,2,2,1,NA,49
"391",3,3,3,3,2,3,1,5,1,4,2,2,2,3,3,3,4,2,1,1,1,1,2,2,1,36
"392",NA,3,4,5,4,3,3,4,2,3,2,2,2,4,4,3,4,4,2,1,1,1,1,2,NA,69
"393",3,2,2,3,3,2,2,4,2,5,2,2,2,3,3,3,3,5,1,1,1,1,1,2,NA,50
"394",4,3,NA,3,4,5,3,4,3,NA,3,3,3,3,2,2,3,4,3,1,1,1,1,1,NA,52
"395",NA,3,NA,3,4,1,1,5,1,3,2,2,3,4,3,3,3,1,2,1,1,2,1,2,2,62
"396",2,3,3,2,3,3,1,5,1,4,1,1,1,4,4,4,3,3,1,1,1,1,1,2,2,45
"397",1,1,NA,2,5,2,3,5,3,2,3,3,3,3,2,2,3,3,2,2,2,2,2,1,2,85
"398",3,3,1,5,3,2,2,4,3,4,3,2,3,NA,4,3,3,5,1,2,1,1,1,1,NA,51
"399",3,2,3,4,5,3,1,5,3,3,3,3,4,3,3,2,4,4,1,1,1,1,1,2,1,67
"400",4,1,1,3,5,3,2,5,2,3,2,2,2,4,4,4,2,3,1,1,1,1,2,1,1,71
"401",3,3,4,NA,5,2,1,5,1,3,2,2,2,4,4,4,2,2,1,1,2,1,2,1,6,34
"402",3,4,3,2,3,1,1,5,4,5,1,1,1,5,5,4,5,1,1,1,2,1,2,1,2,59
"403",NA,3,3,3,4,2,2,4,3,3,2,2,2,3,3,3,1,1,1,1,1,1,1,2,NA,39
"404",4,1,3,4,4,4,4,3,5,1,2,3,4,3,1,1,2,4,3,2,1,3,1,1,1,90
"405",3,3,4,1,2,1,1,5,1,3,2,2,2,4,4,4,4,1,1,1,2,1,3,1,6,70
"406",3,3,3,3,2,2,1,5,1,4,1,1,1,5,5,5,3,4,1,1,2,1,1,2,NA,35
"407",2,3,3,3,3,1,2,5,1,NA,NA,1,1,3,3,3,2,3,1,1,1,1,1,2,2,18
"408",3,2,3,4,2,1,1,5,1,2,2,2,2,3,3,3,2,1,1,1,1,1,1,1,NA,48
"409",2,NA,1,2,1,1,3,3,5,NA,2,2,2,3,1,3,1,3,1,1,1,1,3,1,NA,50
"410",4,1,1,3,3,2,2,4,3,1,2,2,2,4,4,4,1,2,2,1,1,1,2,1,1,71
"411",3,3,3,3,5,2,2,5,2,3,1,1,1,5,5,5,3,5,1,1,3,1,1,2,2,58
"412",2,3,NA,2,1,2,2,4,2,3,2,2,2,4,3,4,2,3,2,2,2,2,2,1,NA,61
"413",2,3,4,1,2,1,1,5,2,3,1,1,1,5,3,4,3,1,1,2,3,1,3,1,4,70
"414",3,1,4,1,2,1,1,5,1,1,NA,NA,NA,NA,NA,NA,1,2,1,1,2,1,1,1,NA,47
"415",3,3,3,3,3,3,1,5,1,3,2,2,2,3,4,3,3,1,1,1,2,1,1,2,NA,30
"416",3,1,3,2,1,1,1,5,1,1,3,4,4,1,1,1,1,3,1,1,2,1,1,2,NA,50
"417",3,2,2,4,3,3,2,4,2,3,1,2,2,3,3,4,3,3,2,2,3,3,3,1,NA,55
"418",1,1,2,3,5,1,3,2,5,3,3,3,3,4,5,5,1,5,1,1,1,1,2,2,2,43
"419",3,2,3,3,5,1,2,4,2,3,2,3,3,2,3,1,5,4,1,1,1,2,1,2,4,73
"420",3,2,3,3,4,2,5,2,4,2,4,4,4,3,3,3,2,3,1,1,1,1,1,1,1,74
"421",2,3,4,2,2,2,1,5,1,3,2,2,2,5,5,5,4,2,1,1,3,1,3,1,6,43
"422",3,1,4,3,5,1,2,4,4,1,2,2,2,3,3,3,1,3,1,1,1,1,2,1,NA,76
"423",3,2,2,3,2,1,2,4,3,1,3,4,4,1,1,1,2,1,1,1,1,2,1,1,NA,47
"424",3,3,3,5,5,2,2,4,3,2,2,2,2,4,4,4,4,4,2,2,1,1,1,2,3,75
"425",3,3,3,4,4,1,1,5,2,3,2,2,2,4,4,5,3,4,1,1,1,1,2,1,2,37
"426",1,1,1,1,3,1,2,4,2,2,1,1,2,4,3,4,2,2,1,1,2,2,2,2,2,59
"427",3,3,4,3,4,1,1,4,2,3,2,2,2,3,4,4,3,2,1,1,1,1,1,2,NA,54
"428",3,1,1,2,5,3,1,5,2,3,3,3,3,3,3,3,3,1,2,1,1,1,1,2,2,57
"429",3,NA,4,4,3,2,2,4,4,3,2,2,3,3,3,3,4,4,1,1,1,1,2,2,NA,89
"430",4,3,4,4,5,3,2,4,2,2,1,1,1,4,5,5,5,4,1,1,1,1,1,2,NA,69
"431",1,3,3,3,4,2,2,4,2,3,2,3,3,5,4,5,5,5,2,1,1,1,1,2,NA,20
"432",3,1,4,3,3,3,2,4,3,1,2,2,2,3,3,3,1,2,1,1,1,1,1,1,1,47
"433",2,2,2,2,4,1,1,4,3,2,2,3,4,2,2,1,3,2,1,1,1,1,3,2,2,73
"434",3,3,3,3,3,2,1,5,2,3,2,2,2,4,4,4,3,1,1,1,2,1,3,2,NA,58
"435",5,1,1,3,3,2,2,4,2,5,1,2,2,5,5,5,5,4,2,2,2,1,1,2,2,78
"436",3,1,1,2,3,2,2,5,1,2,2,3,3,3,2,2,2,3,2,1,1,1,2,2,NA,66
"437",2,1,1,2,2,4,5,3,5,1,3,3,4,3,1,1,1,2,1,1,1,1,1,1,2,57
"438",NA,1,NA,1,1,2,1,5,NA,1,4,4,4,1,1,1,NA,1,1,1,1,1,3,2,NA,55
"439",5,1,1,3,4,3,2,3,4,3,2,4,3,3,2,1,1,4,2,1,1,1,1,2,1,77
"440",2,3,3,4,3,2,1,5,1,3,1,1,2,3,4,4,3,3,1,1,1,1,2,2,NA,50
"441",4,1,4,5,4,3,2,4,4,3,2,2,2,4,4,4,3,5,1,1,2,1,1,1,NA,81
"442",3,3,3,4,4,2,2,4,3,3,1,2,2,3,3,3,3,3,1,1,1,1,1,2,NA,60
"443",NA,1,NA,NA,3,3,1,5,2,1,4,4,3,NA,2,NA,1,3,NA,1,1,3,1,2,7,75
"444",3,3,NA,3,5,1,1,5,1,3,2,2,2,3,3,3,3,4,1,1,1,1,2,2,NA,31
"445",3,2,3,4,3,2,2,4,3,3,2,2,3,3,4,3,3,3,2,1,2,1,2,1,NA,71
"446",3,3,3,4,5,4,2,4,3,2,4,4,4,2,1,2,1,1,2,2,1,1,3,1,NA,66
"447",3,2,3,2,4,2,2,4,3,3,2,2,3,4,3,3,3,3,1,2,1,1,1,2,NA,83
"448",3,3,5,3,5,2,1,5,2,3,3,2,2,2,4,3,2,3,1,1,1,1,1,1,NA,60
"449",NA,3,3,3,3,2,2,4,2,3,3,3,3,3,3,4,2,4,NA,NA,NA,NA,NA,1,1,74
"450",3,NA,3,4,4,2,2,4,3,3,2,2,2,3,3,3,3,4,1,1,1,1,2,2,NA,56
"451",3,1,1,2,3,4,NA,NA,NA,2,2,2,3,3,2,2,3,2,2,2,1,2,1,1,NA,49
"452",3,2,3,2,3,2,1,5,2,3,2,2,2,2,2,3,3,3,2,1,1,1,1,2,NA,38
"453",3,2,NA,3,5,3,1,4,1,3,4,4,4,2,3,1,2,1,1,1,1,1,2,2,NA,31
"454",5,NA,4,3,2,3,1,5,2,2,3,3,3,3,NA,2,2,1,2,2,1,1,NA,1,NA,46
"455",NA,NA,3,4,3,1,1,5,1,NA,2,2,2,3,3,3,1,1,1,1,2,1,2,2,NA,28
"456",NA,NA,NA,NA,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,51
"457",3,3,5,1,5,3,1,5,1,NA,2,2,2,5,3,3,4,1,2,2,1,1,1,1,NA,77
"458",2,1,1,1,4,4,2,5,4,NA,4,4,4,1,2,2,2,1,3,2,2,2,1,1,NA,41
"459",3,3,4,2,4,4,2,5,4,3,3,3,3,3,2,3,2,3,2,1,2,2,2,1,1,52
"460",4,3,3,4,4,2,2,3,4,2,2,2,2,3,4,3,4,5,2,1,1,1,1,2,NA,90
"461",3,1,3,4,5,3,1,5,2,2,2,3,3,3,2,2,1,4,2,2,1,2,3,1,2,46
"462",NA,3,NA,3,4,2,1,5,1,3,2,2,2,4,4,4,2,2,1,2,1,1,2,2,1,16
"463",NA,2,4,2,4,1,4,2,5,NA,2,2,2,4,3,4,3,4,1,2,1,2,1,2,NA,47
"464",3,3,3,4,3,2,2,5,3,4,2,2,2,4,4,5,4,4,1,1,1,1,1,2,1,59
"465",3,3,3,3,4,1,2,5,2,3,4,4,4,2,4,1,1,3,2,3,1,1,1,1,4,30
"466",NA,NA,2,NA,4,2,5,1,5,NA,1,4,4,2,3,1,1,1,1,3,1,1,1,2,NA,19
"467",2,2,3,1,2,1,2,4,5,1,2,2,2,5,2,3,3,1,1,1,1,1,3,1,NA,75
"468",2,3,4,4,4,2,1,5,1,4,2,2,2,5,5,5,3,2,1,1,1,1,3,2,2,30
"469",3,3,4,3,4,2,2,5,2,3,1,1,1,4,3,4,4,4,2,1,2,1,1,2,NA,57
"470",2,4,3,2,3,2,1,5,2,4,1,1,2,5,5,5,5,4,1,1,2,1,1,1,NA,29
"471",3,4,4,2,3,2,2,4,3,4,3,3,3,4,3,4,4,1,2,2,2,2,3,1,3,41
"472",3,1,3,2,5,4,1,5,3,1,2,2,2,3,3,3,1,3,1,1,1,2,1,1,1,56
"473",3,2,4,5,3,4,4,2,4,3,2,2,2,4,3,4,3,3,2,2,1,2,2,1,1,89
"474",3,3,4,3,3,2,1,5,2,4,2,2,2,3,4,4,4,1,1,1,1,1,3,1,2,44
"475",3,3,4,2,4,4,1,5,1,3,3,3,3,5,4,4,3,1,1,1,2,1,1,1,1,25
"476",3,1,2,3,5,3,1,4,3,3,3,3,3,3,3,3,2,3,1,2,1,1,1,1,NA,79
"477",2,4,2,1,2,2,1,5,1,4,2,2,2,5,5,5,5,4,1,1,1,1,2,1,6,52
"478",3,3,3,3,3,4,2,5,1,3,1,2,2,4,4,4,4,2,2,1,2,1,3,2,13,59
"479",3,1,1,1,3,4,3,3,4,1,3,3,3,3,3,3,1,1,3,2,3,2,1,2,1,66
"480",4,3,4,4,5,2,1,5,3,4,2,2,2,5,5,4,4,3,2,1,1,1,1,2,NA,62
"481",4,3,4,3,2,2,1,4,1,3,3,2,2,3,4,3,5,2,2,2,1,1,1,2,NA,17
"482",3,3,3,2,2,1,1,5,1,3,2,2,2,5,3,5,4,3,1,1,1,1,1,2,NA,43
"483",1,4,4,3,3,2,2,4,3,4,1,1,1,4,4,4,3,5,1,2,2,1,1,2,2,50
"484",5,1,5,3,3,1,1,5,3,3,3,2,4,3,3,3,1,2,2,3,2,3,3,2,1,54
"485",3,2,NA,NA,2,2,1,5,1,NA,NA,1,1,3,4,NA,1,1,1,1,1,1,2,2,NA,39
"486",3,3,4,3,3,3,2,4,2,3,2,2,2,4,4,4,3,1,2,2,1,1,2,1,NA,38
